id;Nome;Partido;Estado;Legislatura
141489;LUIZ PAULO VELLOZO LUCAS;PSDB;ES;53
74688;LUIZ SÉRGIO;PT;RJ;53
74784;LUIZA ERUNDINA;PSB;SP;53
73936;LUPÉRCIO RAMOS;PMDB;AM;53
74802;MAGELA;PT;DF;53
149327;MAJOR FÁBIO;DEM;PB;53
74163;MANATO;PDT;ES;53
141490;MANOEL JUNIOR;PMDB;PB;53
74456;MANOEL SALVIANO;PSDB;CE;53
141492;MANUELA D'ÁVILA;PCdoB;RS;53
74124;MARÇAL FILHO;PMDB;MS;53
146613;MARCELO ALMEIDA;PMDB;PR;53
74460;MARCELO CASTRO;PMDB;PI;53
74143;MARCELO GUIMARÃES FILHO;PMDB;BA;53
141495;MARCELO ITAGIBA;PSDB;RJ;53
141494;MARCELO MELO;PMDB;GO;53
74278;MARCELO ORTIZ;PV;SP;53
141493;MARCELO SERAFIM;PSB;AM;53
74300;MARCELO TEIXEIRA;PR;CE;53
141497;MÁRCIO FRANÇA;PSB;SP;53
141496;MARCIO JUNQUEIRA;DEM;RR;53
150418;MÁRCIO MARINHO;PRB;BA;53
115899;MARCIO PASSOS;PR;MG;53
74744;MÁRCIO REINALDO MOREIRA;PP**;MG;53
133373;MARCO MAIA;PT;RS;53
74470;MARCONDES GADELHA;PSC;PB;53
141499;MARCOS ANTONIO;PRB;PE;53
74745;MARCOS LIMA;PMDB;MG;53
74634;MARCOS MEDRADO;PDT;BA;53
141500;MARCOS MONTES;DEM;MG;53
74586;MARIA DO CARMO LARA;PT;MG;53
74398;MARIA DO ROSÁRIO;PT;RS;53
64960;MARIA HELENA;PSB;RR;53
74587;MARIA LÚCIA CARDOSO;PMDB;MG;53
141505;MARINA MAGGESSI;PPS;RJ;53
74177;MARINHA RAUPP;PMDB;RO;53
74747;MÁRIO DE OLIVEIRA;PSC;MG;53
74158;MÁRIO HERINGER;PDT;MG;53
74635;MÁRIO NEGROMONTE;PP**;BA;53
147653;MATTEO CHIARELLI;DEM;RS;53
74050;MAURÍCIO QUINTELLA LESSA;PR;AL;53
74045;MAURÍCIO RANDS;PT;PE;53
141506;MAURÍCIO TRINDADE;PR;BA;53
73588;MAURO BENEVIDES;PMDB;CE;53
74749;MAURO LOPES;PMDB;MG;53
141507;MAURO MARIANI;PMDB;SC;53
141508;MAURO NAZIF;PSB;RO;53
73780;MAX ROSENMANN;PMDB;PR;53
73904;MENDES RIBEIRO FILHO;PMDB;RS;53
74056;MENDONÇA PRADO;DEM;SE;53
73552;MICHEL TEMER;PMDB;SP;53
141509;MIGUEL CORRÊA;PT;MG;53
141469;MIGUEL MARTINI;PHS;MG;53
74337;MILTON BARBOSA;PSC;BA;53
74787;MILTON MONTI;PR;SP;53
154178;MILTON VIEIRA;DEM;SP;53
74862;MIRO TEIXEIRA;PDT;RJ;53
74238;MOACIR MICHELETTO;PMDB;PR;53
139311;MOISES AVELINO;PMDB;TO;53
141537;MOREIRA MENDES;PPS;RO;53
74318;MUSSA DEMES;DEM;PI;53
74108;NARCIO RODRIGUES;PSDB;MG;53
133372;NATAN DONADON;PMDB;RO;53
74491;NAZARENO FONTELES;PT;PI;53
141510;NEILTON MULIM;PR;RJ;53
74038;NÉLIO DIAS;PP**;RN;53
73416;NELSON BORNIER;PMDB;RJ;53
141511;NELSON GOETTEN;PR;SC;53
73553;NELSON MARQUEZELLI;PTB;SP;53
73781;NELSON MEURER;PP**;PR;53
74571;NELSON PELLEGRINO;PT;BA;53
73907;NELSON PROENÇA;PPS;RS;53
73761;NELSON TRAD;PMDB;MS;53
146307;NERI GELLER;PSDB;MT;53
74165;NEUCIMAR FRAGA;PR;ES;53
141512;NEUDO CAMPOS;PP**;RR;53
74447;NICE LOBÃO;DEM;MA;53
74080;NICIAS RIBEIRO;PSDB;PA;53
73594;NILMAR RUIZ;PR;TO;53
74365;NILSON MOURÃO;PT;AC;53
74352;NILSON PINTO;PSDB;PA;53
74159;ODAIR CUNHA;PT;MG;53
73782;ODÍLIO BALBINOTTI;PMDB;PR;53
74005;OLAVO CALHEIROS;PMDB;AL;53
74399;ONYX LORENZONI;DEM;RS;53
73684;ORLANDO DESCONSI;PT;RS;53
141514;OSMAR JÚNIOR;PCdoB;PI;53
73463;OSMAR SERRAGLIO;PMDB;PR;53
73692;OSMAR TERRA;PMDB;RS;53
73660;OSÓRIO ADRIANO;DEM;DF;53
73909;OSVALDO BIOLCHI;PMDB;RS;53
74191;OSVALDO REIS;PMDB;TO;53
141515;OTAVIO LEITE;PSDB;RJ;53
154417;PAES DE LIRA;PTC;SP;53
74319;PAES LANDIM;PTB;PI;53
73921;PASTOR FRANKEMBERGEN;PTB;RR;53
141491;PASTOR MANOEL FERREIRA;PR;RJ;53
74032;PASTOR PEDRO RIBEIRO;PR;CE;53
141516;PAULO ABI-ACKEL;PSDB;MG;53
73882;PAULO BAUER;PSDB;SC;53
73883;PAULO BORNHAUSEN;DEM;SC;53
74754;PAULO DELGADO;PT;MG;53
141517;PAULO HENRIQUE LUSTOSA;PMDB;CE;53
73555;PAULO LIMA;PMDB;SP;53
74574;PAULO MAGALHÃES;DEM;BA;53
132056;PAULO MALUF;PP**;SP;53
141518;PAULO PEREIRA DA SILVA;PDT;SP;53
141519;PAULO PIAU;PMDB;MG;53
74400;PAULO PIMENTA;PT;RS;53
73612;PAULO RATTES;PMDB;RJ;53
141520;PAULO RENATO SOUZA;PSDB;SP;53
141521;PAULO ROBERTO PEREIRA;PTB;RS;53
74082;PAULO ROCHA;PT;PA;53
74047;PAULO RUBEM SANTIAGO;PDT;PE;53
141488;PAULO TEIXEIRA;PT;SP;53
74812;PEDRO CHAVES;PMDB;GO;53
74556;PEDRO EUGÊNIO;PT;PE;53
74449;PEDRO FERNANDES;PTB;MA;53
74111;PEDRO HENRY;PP**;MT;53
74207;PEDRO NOVAIS;PMDB;MA;53
74102;PEDRO VALADARES;DEM;SE;53
73673;PEDRO WILSON;PT;GO;53
141445;PEPE VARGAS;PT;RS;53
73943;PERPÉTUA ALMEIDA;PCdoB;AC;53
141465;PINTO ITAMARATY;PSDB;MA;53
73486;POMPEO DE MATTOS;PDT;RS;53
141538;PROFESSOR RUY PAULETTI;PSDB;RS;53
141543;PROFESSOR SETIMO;PMDB;MA;53
148134;PROFESSOR VICTORIO GALLI;PMDB;MT;53
74370;PROFESSORA RAQUEL TEIXEIRA;PSDB;GO;53
159259;R. SÁ FILHO;PSDB;PI;53
74590;RAFAEL GUERRA;PSDB;MG;53
74216;RAIMUNDO GOMES DE MATOS;PSDB;CE;53
141403;RATINHO JUNIOR;PSC;PR;53
141523;RAUL HENRY;PMDB;PE;53
74048;RAUL JUNGMANN;PPS;PE;53
141525;REBECCA GARCIA;PP**;AM;53
74161;REGINALDO LOPES;PT;MG;53
73556;REGIS DE OLIVEIRA;PSC;SP;53
141526;REINALDO NOGUEIRA;PDT;SP;53
73786;REINHOLD STEPHANES;PMDB;PR;53
141528;RENATO AMARY;PSDB;SP;53
74257;RENATO COZZOLINO;PDT;RJ;53
141527;RENATO MOLLING;PP**;RS;53
73801;RENILDO CALHEIROS;PCdoB;PE;53
74027;RIBAMAR ALVES;PSB;MA;53
73788;RICARDO BARROS;PP**;PR;53
74793;RICARDO BERZOINI;PT;SP;53
73557;RICARDO IZAR;PTB;SP;53
150634;RICARDO QUIRINO;PR;DF;53
141472;RICARDO TRIPOLI;PSDB;SP;53
73490;RICARTE DE FREITAS;PTB;MT;53
74777;RITA CAMATA;PSDB;ES;53
152610;ROBERTO ALVES;PTB;SP;53
73674;ROBERTO BALESTRA;PP**;GO;53
141529;ROBERTO BRITTO;PP**;BA;53
74433;ROBERTO MAGALHÃES;DEM;PE;53
74209;ROBERTO ROCHA;PSDB;MA;53
141473;ROBERTO SANTIAGO;PV;SP;53
73558;ROBSON TUMA;DEM;SP;53
141530;RODOVALHO;PP**;DF;53
152865;RODRIGO BETHLEM;PMDB;RJ;53
141531;RODRIGO DE CASTRO;PSDB;MG;53
74693;RODRIGO MAIA;DEM;RJ;53
141532;RODRIGO ROCHA LOURES;PMDB;PR;53
